id|ti gan|A|B|C|D|E|Ans
0|List S consists of the positive integers that are multiples of 9 and are less than 100. What is the median of the integers in S ?|36|45|49|54|63|D
1|For positive integers a and b, the remainder when a is divided by b is equal to the remainder when b is divided by a. Which of the following could be a value of ab ?|II only|III only|I and II only|II and III only|I, II, and III|B
2|If x – y = R and xy = S, then (x – 2)(y + 2) =|R + S – 4|R + 2S – 4|2R – S – 4|2R + S – 4|2R + S|D
4|For what value of x between –4 and 4, inclusive, is the value of x2  – 10x + 16 the greatest?|–4|–2|0|2|4|A
5|The toll T, in dollars, for a truck using a certain bridge is given by the formula T = 1.50 + 0.50(x – 2), where x is the number of axles on the truck. What is the toll for an 18-wheel truck that has 2 wheels on its front axle and 4 wheels on each of its other axles?|$2.50|$3.00|$3.50|$4.00|$5.00|B
6|A grocer has 400 pounds of coffee in stock, 20 percent of which is decaffeinated. If the grocer buys another 100 pounds of coffee of which 60 percent is decaffeinated, what percent, by weight, of the grocer’s stock of coffee is decaffeinated?|28%|30%|32%|34%|40%|A
7|Point X lies on side BC of rectangle ABCD, which has length 12 and width 8. What is the area of triangular region AXD ?|96|48|32|24|20|B
8|Which of the following represent positive numbers?|I only|II only|III only|I and II|II and III|D
9|A company sells radios for $15.00 each. It costs the company $14.00 per radio to produce 1,000 radios and $13.50 per radio to produce 2,000 radios. How much greater will the company’s gross profit be from the production and sale of 2,000 radios than from the production and sale of 1,000 radios?|$500|$1,000|$1,500|$2,000|$2,500|D
10|A certain work plan for September requires that a work team, working every day, produce an average of 200 items per day. For the first half of the month, the team produced an average of 150 items per day. How many items per day must the team average during the second half of the month if it is to attain the average daily production rate required by the work plan?|225|250|275|300|350|B
12|There are five sales agents in a certain real estate office. One month Andy sold twice as many properties as Ellen, Bob sold 3 more than Ellen, Cary sold twice as many as Bob, and Dora sold as many as Bob and Ellen together. Who sold the most properties that month?|Andy|Bob|Cary|Dora|Ellen|C
13|Guadalupe owns 2 rectangular tracts of land. One is 300 m by 500 m and the other is 250 m by 630 m. The combined area of these 2 tracts is how many square meters?|3,360|307,500|621,500|704,000|2,816,000|B
14|If the average (arithmetic mean) of 5 numbers j, j + 5, 2j – 1, 4j – 2, and 5j – 1 is 8, what is the value of j ?|1/3|7/13|1|3|8|D
16|The annual profit or loss for the three divisions of Company T for the years 1991 through 1995 are summarized in the table shown, where losses are enclosed in parentheses. For which division and which three consecutive years shown was the division’s profit or loss for the three-year period closest to $0 ?|Division A for 1991–1993|Division A for 1992–1994|Division B for 1991–1993|Division B for 1993–1995|Division C for 1992–1994|E
18|The value of Maureen’s investment portfolio has decreased by 5.8 percent since her initial investment in the portfolio. If her initial investment was $16,800, what is the current value of the portfolio?|$7,056.00|$14,280.00|$15,825.60|$16,702.56|$17,774.40|C
19|A rug manufacturer produces rugs at a cost of $75 per rug. What is the manufacturer’s gross profit from the sale of 150 rugs if of the rugs are sold for $150 per rug and the rest are sold for $200 per rug?|$10,350|$11,250|$13,750|$16,250|$17,800|C
20|To order certain plants from a catalog, it costs $3.00 per plant, plus a 5 percent sales tax, plus $6.95 for shipping and handling regardless of the number of plants ordered. If Company C ordered these plants from the catalog at the total cost of $69.95, how many plants did Company C order?|22|21|20|19|18|C
21|If x > y and y > z, which of the following represents the greatest number?|x – z|x – y|y – x|z – y|z – x|A
22|A souvenir vendor purchased 1,000 shirts for a special event at a price of $5 each. The vendor sold 600 of the shirts on the day of the event for $12 each and 300 of the shirts in the week following the event for $4 each. The vendor was unable to sell the remaining shirts. What was the vendor’s gross profit on the sale of these shirts?|$1,000|$2,200|$2,700|$3,000|$3,400|E
23|What is the value of x2yz – xyz2 , if x = –2, y = 1, and z = 3 ?|20|24|30|32|48|C
24|Points A, B, C, and D, in that order, lie on a line. If AB = 3 cm, AC = 4 cm, and BD = 6 cm, what is CD, in centimeters?|1|2|3|4|5|E
25|6(87.30 + 0.65) − 5(87.30) =|3.90|39.00|90.90|91.20|91.85|D
26|A certain harbor has docking stations along its west and south docks, as shown in the figure; any two adjacent docking stations are separated by a uniform distance d. A certain boat left the west dock from docking station #2 and moved in a straight line diagonally until it reached the south dock. If the boat was at one time directly east of docking station #4 and directly north of docking station #7, at which docking station on the south dock did the boat arrive?|#7|#8|#9|#10|#11|B
27|If x + y = 2 and x2 + y2 = 2, what is the value of xy ?|–2|–1|0|1|2|D
28|The sum S of the first n consecutive positive even integers is given by S = n(n + 1). For what value of n is this sum equal to 110 ?|10|11|12|13|14|A
29|Working at a constant rate, a copy machine makes 20 copies of a one-page document per minute. If the machine works at this constant rate, how many hours does it take to make 4,800 copies of a one-page document?|4|5|6|7|8|A
31|The outer dimensions of a closed rectangular cardboard box are 8 centimeters by 10 centimeters by 12 centimeters, and the six sides of the box are uniformly   centimeter thick. A closed canister in the shape of a right circular cylinder is to be placed inside the box so that it stands upright when the box rests on one of its sides. Of all such canisters that would fit, what is the outer radius, in centimeters, of the canister that occupies the maximum volume?|3.5|4|4.5|5|5.5|C
35|If the units digit of     is 6, what is the value of k ?|3|2|1|−1|−2|B
36|A certain state’s milk production was 980 million pounds in 2007 and 2.7 billion pounds in 2014. Approximately how many more million gallons of milk did the state produce in 2014 than in 2007 ? (1 billion =  and 1 gallon = 8.6 pounds.)|100|200|1,700|8,200|14,800|B
40|November 16, 2001, was a Friday. If each of the years 2004, 2008, and 2012 had 366 days, and the remaining years from 2001 through 2014 had 365 days, what day of the week was November 16, 2014 ?|Sunday|Monday|Tuesday|Wednesday|Thursday|A
41|If each of the 12 teams participating in a certain tournament plays exactly one game with each of the other teams, how many games will be played?|144|132|66|33|23|C
42|If k and n are positive integers such that n > k, then k ! + (n − k) · (k − 1)! is equivalent to which of the following?|k · n!|k ! · n|(n − k)!|n · (k + 1)!|n · (k − 1)!|E
43|The sides of a square region, measured to the nearest centimeter, are 6 centimeters long. The least possible value of the actual area of the square region is|36.00 sq cm|35.00 sq cm|33.75 sq cm|30.25 sq cm|25.00 sq cm|D
44|One inch represents 20 miles on Map K and one inch represents 30 miles on Map L.  An area of 3 square inches represents how many more square miles on Map L than on Map K ?|30|400|500|900|1,500|E
45|Exchange Rates in a Particular Year|$0|$50|$100|$150|$200|D
47|Tanks A and B are each in the shape of a right circular cylinder. The interior of Tank A has a height of 10 meters and a circumference of 8 meters, and the interior of Tank B has a height of 8 meters and a circumference of 10 meters. The capacity of Tank A is what percent of the capacity of Tank B ?|75%|80%|100%|120%|125%|B
49|In a certain high school, 80 percent of the seniors are taking calculus, and 60 percent of the seniors who are taking calculus are also taking physics. If 10 percent of the seniors are taking neither calculus nor physics, what percent of the seniors are taking physics?|40%|42%|48%|58%|80%|D
50|If 65 percent of a certain firm’s employees are full-time and if there are 5,100 more full-time employees than part-time employees, how many employees does the firm have?|8,250|10,200|11,050|16,500|17,000|E
51|Sam has $800 in his account. He will deposit $1 in his account one week from now, $2 two weeks from now, and each week thereafter he will deposit an amount that is $1 greater than the amount that he deposited one week before. If there are no other transactions, how much money will Sam have in his account 50 weeks from now?|$850|$1,200|$1,675|$2,075|$3,350|D
52|Last year a state senate consisting of only Republican and Democrat members had 20 more Republican members than Democrat members. This year the senate has the same number of members as last year, but it has 2 fewer Republican members than last year. If this year the number of Republican members is  the number of senate members, how many members does the senate have this year?|33|36|42|45|48|E
53|The profit P, in dollars, for any given month at a certain company is defined by P = I − C, where I represents total income, in dollars, and C represents total costs, in dollars, for the month. For each of the first 4 months of the year, C = I + 32,000; and for each of the next 3 months, I = C + 36,000. If I = C + 10,000 for each of the 5 remaining months of the year, what was the company’s total profit for the 12-month year?|$10,000|$30,000|$40,000|$50,000|$70,000|B
54|In the xy plane, the distance between the origin and the point (4,5) is the same as the distance between which of the following two points?|(−3,2) and (−7,8)|(−2,1) and (3,5)|(−2,−4) and (1,0)|(3,2) and (8,7)|(4,1) and (−1,−4)|B
55|If the mass of 1 cubic centimeter of a certain substance is 7.3 grams, what is the mass, in kilograms, of 1 cubic meter of this substance? (1 cubic meter = 1,000,000 cubic centimeters; 1 kilogram = 1,000 grams)|0.0073|0.73|7.3|7,300|7,300,000|D
56|To rent a tractor, it costs a total of x dollars for the first 24 hours, plus y dollars per hour for each hour in excess of 24 hours. Which of the following represents the cost, in dollars, to rent a tractor for 36 hours?|x + 12y|x + 36y|12x + y|24x + 12y|24x + 36y|A
